buy1_id,buy1_count,buy2_id,buy2_count,sell_id,sell_name,sell_custom_model_data,add_armor_nbt
minecraft:carved_pumpkin,1,minecraft:cod,8,minecraft:carved_pumpkin,无敌白色六角小龙趴,101,false
minecraft:carved_pumpkin,1,minecraft:cod,8,minecraft:carved_pumpkin,无敌紫色六角小龙趴,102,false
minecraft:carved_pumpkin,1,minecraft:cod,8,minecraft:carved_pumpkin,无敌粉色六角小龙趴,103,false
minecraft:carved_pumpkin,1,minecraft:cod,8,minecraft:carved_pumpkin,无敌黄色六角小龙趴,104,false
minecraft:carved_pumpkin,1,minecraft:red_mushroom_block,1,minecraft:carved_pumpkin,蘑菇帽,105,false
minecraft:carved_pumpkin,1,minecraft:red_mushroom_block,1,minecraft:carved_pumpkin,蘑菇啾啾帽,106,false
minecraft:carved_pumpkin,1,minecraft:nether_wart_block,2,minecraft:carved_pumpkin,劲爆绯红菌眼镜,107,false
minecraft:carved_pumpkin,1,minecraft:netherite_ingot,1,minecraft:carved_pumpkin,幽匿双马尾,108,false
minecraft:carved_pumpkin,1,minecraft:lily_pad,3,minecraft:carved_pumpkin,青色呱呱,109,false
minecraft:carved_pumpkin,1,minecraft:lily_pad,3,minecraft:carved_pumpkin,橙色呱呱,110,false
minecraft:carved_pumpkin,1,minecraft:lily_pad,3,minecraft:carved_pumpkin,没墨呱呱,111,false
minecraft:carved_pumpkin,1,minecraft:honeycomb_block,1,minecraft:carved_pumpkin,嗡嗡嗡嗡嗡,112,false
minecraft:carved_pumpkin,1,minecraft:jukebox,1,minecraft:carved_pumpkin,乐灵,113,false
minecraft:carved_pumpkin,1,minecraft:cod,1,minecraft:carved_pumpkin,嘴叼生鲜,114,false
minecraft:carved_pumpkin,1,minecraft:salmon,1,minecraft:carved_pumpkin,头顶生鲜,115,false
minecraft:carved_pumpkin,1,minecraft:trident,1,minecraft:carved_pumpkin,大脑通透器,116,false
minecraft:carved_pumpkin,1,minecraft:observer,1,minecraft:carved_pumpkin,思考者,117,false
minecraft:carved_pumpkin,1,minecraft:redstone,1,minecraft:carved_pumpkin,女巫帽,118,false
minecraft:carved_pumpkin,1,minecraft:emerald,16,minecraft:carved_pumpkin,铁匠帽,119,false
minecraft:carved_pumpkin,1,minecraft:emerald,16,minecraft:carved_pumpkin,制箭帽,120,false
minecraft:carved_pumpkin,1,minecraft:emerald,16,minecraft:carved_pumpkin,渔夫帽,121,false
minecraft:carved_pumpkin,1,minecraft:emerald,16,minecraft:carved_pumpkin,农夫帽,122,false
minecraft:carved_pumpkin,1,minecraft:emerald,16,minecraft:carved_pumpkin,屠夫帽,123,false
minecraft:carved_pumpkin,1,minecraft:emerald,16,minecraft:carved_pumpkin,纺织帽,124,false
minecraft:carved_pumpkin,1,minecraft:emerald,16,minecraft:carved_pumpkin,图管帽,125,false
minecraft:carved_pumpkin,1,minecraft:purple_dye,1,minecraft:carved_pumpkin,厉害的紫色魔法帽子,126,false
minecraft:carved_pumpkin,1,minecraft:yellow_dye,1,minecraft:carved_pumpkin,厉害的黄色魔法帽子,127,false
minecraft:carved_pumpkin,1,minecraft:lime_dye,1,minecraft:carved_pumpkin,厉害的绿色魔法帽子,128,false
minecraft:carved_pumpkin,1,minecraft:red_dye,1,minecraft:carved_pumpkin,厉害的红色魔法帽子,129,false
minecraft:carved_pumpkin,1,minecraft:feather,8,minecraft:carved_pumpkin,边翘羽毛帽,130,false
minecraft:carved_pumpkin,1,minecraft:diamond,27,minecraft:carved_pumpkin,洞穴探险家之帽,131,false
minecraft:carved_pumpkin,1,minecraft:diamond,1,minecraft:carved_pumpkin,樱花点点高丘帽,132,false
minecraft:carved_pumpkin,1,minecraft:clock,3,minecraft:carved_pumpkin,梦里啥都有睡吧帽,133,false
minecraft:diamond_helmet,1,minecraft:cod,8,minecraft:carved_pumpkin,无敌白色六角小龙趴,101,true
minecraft:diamond_helmet,1,minecraft:cod,8,minecraft:carved_pumpkin,无敌紫色六角小龙趴,102,true
minecraft:diamond_helmet,1,minecraft:cod,8,minecraft:carved_pumpkin,无敌粉色六角小龙趴,103,true
minecraft:diamond_helmet,1,minecraft:cod,8,minecraft:carved_pumpkin,无敌黄色六角小龙趴,104,true
minecraft:diamond_helmet,1,minecraft:red_mushroom_block,1,minecraft:carved_pumpkin,蘑菇帽,105,true
minecraft:diamond_helmet,1,minecraft:red_mushroom_block,1,minecraft:carved_pumpkin,蘑菇啾啾帽,106,true
minecraft:diamond_helmet,1,minecraft:nether_wart_block,2,minecraft:carved_pumpkin,劲爆绯红菌眼镜,107,true
minecraft:diamond_helmet,1,minecraft:netherite_ingot,1,minecraft:carved_pumpkin,幽匿双马尾,108,true
minecraft:diamond_helmet,1,minecraft:lily_pad,3,minecraft:carved_pumpkin,青色呱呱,109,true
minecraft:diamond_helmet,1,minecraft:lily_pad,3,minecraft:carved_pumpkin,橙色呱呱,110,true
minecraft:diamond_helmet,1,minecraft:lily_pad,3,minecraft:carved_pumpkin,没墨呱呱,111,true
minecraft:diamond_helmet,1,minecraft:honeycomb_block,1,minecraft:carved_pumpkin,嗡嗡嗡嗡嗡,112,true
minecraft:diamond_helmet,1,minecraft:jukebox,1,minecraft:carved_pumpkin,乐灵,113,true
minecraft:diamond_helmet,1,minecraft:cod,1,minecraft:carved_pumpkin,嘴叼生鲜,114,true
minecraft:diamond_helmet,1,minecraft:salmon,1,minecraft:carved_pumpkin,头顶生鲜,115,true
minecraft:diamond_helmet,1,minecraft:trident,1,minecraft:carved_pumpkin,大脑通透器,116,true
minecraft:diamond_helmet,1,minecraft:observer,1,minecraft:carved_pumpkin,思考者,117,true
minecraft:diamond_helmet,1,minecraft:redstone,1,minecraft:carved_pumpkin,女巫帽,118,true
minecraft:diamond_helmet,1,minecraft:emerald,16,minecraft:carved_pumpkin,铁匠帽,119,true
minecraft:diamond_helmet,1,minecraft:emerald,16,minecraft:carved_pumpkin,制箭帽,120,true
minecraft:diamond_helmet,1,minecraft:emerald,16,minecraft:carved_pumpkin,渔夫帽,121,true
minecraft:diamond_helmet,1,minecraft:emerald,16,minecraft:carved_pumpkin,农夫帽,122,true
minecraft:diamond_helmet,1,minecraft:emerald,16,minecraft:carved_pumpkin,屠夫帽,123,true
minecraft:diamond_helmet,1,minecraft:emerald,16,minecraft:carved_pumpkin,纺织帽,124,true
minecraft:diamond_helmet,1,minecraft:emerald,16,minecraft:carved_pumpkin,图管帽,125,true
minecraft:diamond_helmet,1,minecraft:purple_dye,1,minecraft:carved_pumpkin,厉害的紫色魔法帽子,126,true